id,"name","odptrailway","created_at","updated_at"
143,"篠ノ井線","odpt.Railway:JR-East.Shinonoi","2019-11-30 14:04:26","2019-11-30 14:04:26"
144,"湘南新宿ライン","odpt.Railway:JR-East.ShonanShinjuku","2019-11-30 14:04:26","2019-11-30 14:04:26"
145,"総武快速線","odpt.Railway:JR-East.SobuRapid","2019-11-30 14:04:26","2019-11-30 14:04:26"
146,"総武本線","odpt.Railway:JR-East.Sobu","2019-11-30 14:04:26","2019-11-30 14:04:26"
147,"東北新幹線","odpt.Railway:JR-East.TohokuShinkansen","2019-11-30 14:04:26","2019-11-30 14:04:26"
148,"外房線","odpt.Railway:JR-East.Sotobo","2019-11-30 14:04:26","2019-11-30 14:04:26"
149,"水郡線","odpt.Railway:JR-East.Suigun","2019-11-30 14:04:26","2019-11-30 14:04:26"
150,"只見線","odpt.Railway:JR-East.Tadami","2019-11-30 14:04:26","2019-11-30 14:04:26"
151,"鶴見線大川支線","odpt.Railway:JR-East.TsurumiOkawaBranch","2019-11-30 14:04:26","2019-11-30 14:04:26"
152,"高崎線","odpt.Railway:JR-East.Takasaki","2019-11-30 14:04:26","2019-11-30 14:04:26"
153,"田沢湖線","odpt.Railway:JR-East.Tazawako","2019-11-30 14:04:26","2019-11-30 14:04:26"
154,"東金線","odpt.Railway:JR-East.Togane","2019-11-30 14:04:26","2019-11-30 14:04:26"
155,"東北本線","odpt.Railway:JR-East.Tohoku","2019-11-30 14:04:26","2019-11-30 14:04:26"
156,"東海道線","odpt.Railway:JR-East.Tokaido","2019-11-30 14:04:26","2019-11-30 14:04:26"
157,"津軽線","odpt.Railway:JR-East.Tsugaru","2019-11-30 14:04:26","2019-11-30 14:04:26"
158,"山田線","odpt.Railway:JR-East.Yamada","2019-11-30 14:04:26","2019-11-30 14:04:26"
159,"鶴見線海芝浦支線","odpt.Railway:JR-East.TsurumiUmiShibauraBranch","2019-11-30 14:04:26","2019-11-30 14:04:26"
160,"鶴見線","odpt.Railway:JR-East.Tsurumi","2019-11-30 14:04:26","2019-11-30 14:04:26"
